	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_164	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_184	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_3555	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_362	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_408	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_538	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_671	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_754	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_1295	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_2818	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_4814	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_5233	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_7142	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_1044	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group_sp.
ASV_1372	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	[Eubacterium] siraeum group	[Eubacterium] siraeum group_sp.
ASV_1896	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group_sp.
ASV_2046	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group_sp.
ASV_210	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_382	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_522	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_954	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_1101	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_1940	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_4784	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_4813	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_6706	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_3921	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group_sp.
ASV_6760	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group_sp.
ASV_2472	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group_sp.
ASV_3617	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_4645	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_4666	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5461	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5618	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5935	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6044	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6080	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6615	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6679	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5516	Bacteria	Acidobacteriota	Blastocatellia	24-Nov	24-Nov_NA	24-Nov_NA	24-Nov_NA
ASV_4880	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14_NA	67-14_NA
ASV_6038	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14_NA	67-14_NA
ASV_1544	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_1853	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_1897	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_2471	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_2828	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_4176	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5006	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5364	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_7583	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5101	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_5652	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_6130	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_5027	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	A714019	A714019_sp.
ASV_219	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_434	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_1370	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_2220	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_3886	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_5235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_5948	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_6819	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_7700	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_4361	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium_sp.
ASV_5513	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium_sp.
ASV_1238	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2591	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2615	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2830	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3056	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3321	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3984	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_4659	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6143	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6513	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6768	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_7313	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_8650	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_1891	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_2659	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_3171	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_6210	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_3606	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_4239	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_6867	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_3609	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcaceae_NA	Acidaminococcaceae_NA
ASV_4350	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriales_NA	Acidobacteriales_NA	Acidobacteriales_NA
ASV_2723	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_sp.
ASV_732	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_870	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_3633	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_4850	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_5490	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_7741	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_192	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
ASV_3685	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	Actibacter_sp.
ASV_4195	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	Actibacter_sp.
ASV_6259	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	Actibacter_sp.
ASV_4174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium	Actibacterium_sp.
ASV_5933	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinales_NA	Actinomarinales_NA	Actinomarinales_NA
ASV_4739	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp.
ASV_4108	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes_sp.
ASV_6208	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia_sp.
ASV_120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_283	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_379	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_426	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_575	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_693	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_772	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_845	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_901	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_925	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1053	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1080	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1092	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1214	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1406	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1425	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1501	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_1873	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2230	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2287	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2426	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2494	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2634	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2737	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2752	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2849	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2950	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2958	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_2959	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3088	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3246	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3398	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3586	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3800	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_3824	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4008	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4037	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4056	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4322	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4934	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4965	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4983	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5331	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5811	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5812	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5813	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_5824	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_6050	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_6370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_6412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_6956	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_6995	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7083	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7099	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7160	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7284	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7462	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_7922	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_8096	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_8211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_8710	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_9336	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group_NA	AEGEAN-169 marine group_NA
ASV_4430	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
ASV_8412	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadales_NA	Aeromonadales_NA	Aeromonadales_NA
ASV_8857	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadales_NA	Aeromonadales_NA	Aeromonadales_NA
