sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
E-3-3-1-T0-C	na	3.3.1	3.3	1	T0	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
E-3-3-1-T1-C	na	3.3.1	3.3	1	T1	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
E-3-3-1-T2-C	na	3.3.1	3.3	1	T2	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
E-3-3-1-T3-C	na	3.3.1	3.3	1	T3	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
E-3-3-1-T-minus-1	na	3.3.1	3.3	1	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop3-3	3.9.1	3.3.1	3.3	1	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop3-4	3.9.6	3.3.6	3.3	6	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop3-5	3.9.9	3.3.9	3.3	9	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop3-6	3.8.3	3.2.3	3.2	3	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop3-7	3.8.5	3.2.5	3.2	5	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop3-8	3.8.9	3.2.9	3.2	9	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop3-9	3.8.10	3.2.10	3.2	10	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop3-10	3.9.8	3.3.8	3.3	8	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
E-WMC-T0	water	water	water	water	T0	C	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMC-T1	water	water	water	water	T1	C	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMC-T2	water	water	water	water	T2	C	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMC-T3	water	water	water	water	T3	C	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMT-T0	water	water	water	water	T0	T	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMT-T1	water	water	water	water	T1	T	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMT-T2	water	water	water	water	T2	T	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-WMT-T3	water	water	water	water	T3	T	water	water	Medes 		water	water	water	water	water	water	water	water	water	water	water	
E-7-4-4-T-minus-1	na	7.4.4	7.4	4	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-4-4-T0-T	na	7.4.4	7.4	4	T0	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
